comparison,family,region,bin,n,base_mean,other_mean,delta,ci_lo,ci_hi,effect_size,p_raw,q_pooled,q_perrq
RQ6 (uniformity fix),RQ6,WT,large,20,0.2808702663321127,0.2254877607784199,-0.05538250555369281,-0.07498247248855269,-0.036908963514776114,-0.9428571428571428,2.6702880859375e-05,5.130553513430477e-05,4.8065185546875e-05
RQ5 (naturalistic text),RQ5,ET,small,21,0.009954052583732463,0.009144345554417293,-0.0008097070293151699,-0.001716495660084816,5.162332316524017e-05,-0.45714285714285713,0.07313806917102693,0.08507897842343949,0.23335303517505512
RQ5 (naturalistic text),RQ5,ET,medium,23,0.03742924981534332,0.034448565758711254,-0.0029806840566320644,-0.009835909424563492,0.002038624572762815,-0.3438735177865613,0.15787466009725704,0.17644814952046375,0.2841743881750627
RQ5 (naturalistic text),RQ5,ET,large,23,0.14884564587032542,0.1479338915266579,-0.0009117543436675257,-0.0169002697750581,0.016828751062006674,-0.13043478260869565,0.5921774964028619,0.6063613885322717,0.5921774964028619
RQ5 (naturalistic text),RQ5,TC,small,27,0.019182928141719627,0.01986343377269952,0.0006805056309798913,-0.0007153755330528326,0.0020262683517458056,0.21937321937321938,0.3281623065662794,0.3507234651427112,0.36918259488706434
RQ5 (naturalistic text),RQ5,TC,medium,23,0.05895893056056275,0.0642828561195674,0.005323925559004648,-0.00013127991383340772,0.012646104968218755,0.2964426877470356,0.22342853015648512,0.24809271855038284,0.2963733673095703
RQ5 (naturalistic text),RQ5,TC,large,23,0.1755513767356842,0.19141406651894738,0.01586268978326319,0.00529091887483655,0.025758161760930584,0.6739130434782609,0.0034525394439697266,0.00491986870765686,0.03107285499572754
RQ5 (naturalistic text),RQ5,WT,small,32,0.05682907016139984,0.05860932282377945,0.0017802526623796125,-0.000828154786821665,0.004210236681735727,0.3629032258064516,0.0777843450583517,0.0898724527363388,0.23335303517505512
RQ5 (naturalistic text),RQ5,WT,medium,21,0.13671154759037568,0.14185777622355683,0.005146228633181149,-0.0012360728532854472,0.01151847342071991,0.3939393939393939,0.11934185028076172,0.13425958156585693,0.26851916313171387
RQ5 (naturalistic text),RQ5,WT,large,20,0.2808702663321127,0.29005374452010074,0.009183478187988037,-0.005604313831823724,0.0237443475967731,0.3142857142857143,0.2305126190185547,0.25430747001401843,0.2963733673095703
RQ7 (BERT-base),RQ7,ET,small,21,0.009954052583732463,0.011372041525710506,0.0014179889419780427,0.0002102725713303662,0.0029679087688129165,0.6842105263157895,0.008903385115881386,0.012074484305813179,0.012913343215480199
RQ7 (BERT-base),RQ7,ET,medium,23,0.03742924981534332,0.039961421972982296,0.0025321721576389775,-0.0007679744849367175,0.00576837938536595,0.4025974025974026,0.10604443846627067,0.1213389794435352,0.12725332615952478
RQ7 (BERT-base),RQ7,ET,large,23,0.14884564587032542,0.15786429928701234,0.009018653416686923,-0.0023750241397378466,0.02190476323446382,0.26811594202898553,0.2725830078125,0.2931553102889151,0.3165480090725807
RQ7 (BERT-base),RQ7,TC,small,27,0.019182928141719627,0.021707437911728373,0.0025245097700087454,0.0005611070596238428,0.004706433820834101,0.48148148148148145,0.028018027544021606,0.034971406642537915,0.03602317827088493
RQ7 (BERT-base),RQ7,TC,medium,23,0.05895893056056275,0.062140813122134334,0.003181882561571585,-0.0015941343978388316,0.008341829721566298,0.18840579710144928,0.44520044326782227,0.46420290121218055,0.48567321083762427
RQ7 (BERT-base),RQ7,TC,large,23,0.1755513767356842,0.1928402825572305,0.017288905821546324,0.00729765142622001,0.02780745593519867,0.6884057971014492,0.002726316452026367,0.003950848417767023,0.004267277924910836
RQ7 (BERT-base),RQ7,WT,small,32,0.05682907016139984,0.07029966152497319,0.013470591363573349,0.008585057073820327,0.018526139538138402,0.8371212121212122,5.974899977445602e-06,1.4190387446433306e-05,1.654587686061859e-05
RQ7 (BERT-base),RQ7,WT,medium,21,0.13671154759037568,0.17438915077966563,0.03767760318928995,0.023254503471039526,0.05340519591900319,0.9428571428571428,0.00021907963048002185,0.0003436937322209517,0.00039434333486403935
RQ7 (BERT-base),RQ7,WT,large,20,0.2808702663321127,0.33846976924396804,0.05759950291185534,0.039144804649831694,0.0791669679895079,0.9714285714285714,9.5367431640625e-06,2.1743774414062497e-05,2.452305385044643e-05
RQ7 (random-init BERT),RQ7,ET,small,21,0.009954052583732463,0.015657004045129434,0.0057029514613969705,0.0017284592258702174,0.009498316286274632,0.7229437229437229,0.0024824142456054688,0.0036281438974233773,0.004062132401899858
RQ7 (random-init BERT),RQ7,ET,medium,23,0.03742924981534332,0.08456490498290653,0.04713565516756321,0.03130406731435301,0.06537663929904,0.9782608695652174,1.1920928955078125e-06,3.7749608357747393e-06,6.130763462611607e-06
RQ7 (random-init BERT),RQ7,ET,large,23,0.14884564587032542,0.22543388844438403,0.07658824257405861,0.058672019637714914,0.09540110435731142,1.0,2.384185791015625e-07,1.2740492820739746e-06,2.86102294921875e-06
